g	MBPT	diag	CCD	GF
-1	-0.291667	-0.22013	-0.222571	-0.436277	3.92818
-0.9	-0.23625	-0.183073	-0.184604	-0.347153	3.945
-0.8	-0.186667	-0.148599	-0.149451	-0.268054	3.9597
-0.7	-0.142917	-0.116938	-0.117318	-0.199472	3.97206
-0.6	-0.105	-0.0883468	-0.0884354	-0.141658	3.98195
-0.5	-0.0729167	-0.0631157	-0.0630586	-0.0945778	3.98938
-0.4	-0.0466667	-0.0415693	-0.0414716	-0.0578995	3.99452
-0.3	-0.02625	-0.0240687	-0.0239921	-0.0310113	3.99769
-0.2	-0.0116667	-0.0110122	-0.0109767	-0.0130731	3.99932
-0.1	-0.00291667	-0.002834	-0.00282764	-0.00309065	3.99992
-1.38778e-16	-5.6173e-33	-1.38778e-16	-5.6173e-33	-1.38778e-16	4
0.1	-0.00291667	-0.00300043	-0.00301188	-0.00274963	4.00008
0.2	-0.0116667	-0.0123381	-0.0124559	-0.0103685	4.00059
0.3	-0.02625	-0.0285124	-0.0290141	-0.0220138	4.0019
0.4	-0.0466667	-0.0519987	-0.0534759	-0.0369961	4.00426
0.5	-0.0729167	-0.0832257	-0.0867621	-0.0547846	4.00781
0.6	-0.105	-0.122551	-0.129954	-0.0749956	4.01262
0.7	-0.142917	-0.17024	-0.184332	-0.0973719	4.01868
0.8	-0.186667	-0.226448	-0.251428	-0.121757	4.0259
0.9	-0.23625	-0.291212	-0.333091	-0.148067	4.03418
1	-0.291667	-0.364452	-0.431579	-0.176272	4.04338
