g	MBPT	diag	CCD GF
-2	2.83333	3.30221	3.10972	2.28498
-1.9	2.84708	3.257	3.08701	2.3344
-1.8	2.855	3.21047	3.06158	2.38044
-1.7	2.85708	3.16254	3.03335	2.4227
-1.6	2.85333	3.11313	3.0022	2.46072
-1.5	2.84375	3.06216	2.96803	2.49395
-1.4	2.82833	3.00952	2.93073	2.52176
-1.3	2.80708	2.95511	2.89018	2.54344
-1.2	2.78	2.89879	2.84626	2.55821
-1.1	2.74708	2.84043	2.79883	2.56525
-1	2.70833	2.77987	2.74777	2.56372
-0.9	2.66375	2.71693	2.69291	2.55285
-0.8	2.61333	2.6514	2.63411	2.53195
-0.7	2.55708	2.58306	2.57121	2.50053
-0.6	2.495	2.51165	2.50403	2.45834
-0.5	2.42708	2.43688	2.43239	2.40542
-0.4	2.35333	2.35843	2.35609	2.3421
-0.3	2.27375	2.27593	2.27493	2.26899
-0.2	2.18833	2.18899	2.18869	2.18693
-0.1	2.09708	2.09717	2.09713	2.09691
6.38378e-16	2	2	2	2
0.1	1.89708	1.897	1.89704	1.89725
0.2	1.78833	1.78766	1.78795	1.78963
0.3	1.67375	1.67149	1.67244	1.67799
0.4	1.55333	1.548	1.55018	1.563
0.5	1.42708	1.41677	1.4208	1.44522
0.6	1.295	1.27745	1.28394	1.325
0.7	1.15708	1.12976	1.13919	1.20263
0.8	1.01333	0.973552	0.986096	1.07824
0.9	0.86375	0.808788	0.82419	0.951933
1	0.708333	0.635548	0.652952	0.823728
1.1	0.547083	0.454025	0.47182	0.693629
1.2	0.38	0.264504	0.280184	0.561623
1.3	0.207083	0.067346	0.0773774	0.42769
1.4	0.0283333	-0.137035	-0.137329	0.291811
1.5	-0.15625	-0.348191	-0.364734	0.153978
1.6	-0.346667	-0.56566	-0.605714	0.014186
1.7	-0.542917	-0.78898	-0.861236	-0.127556
1.8	-0.745	-1.0177	-1.13237	-0.271233
1.9	-0.952917	-1.2514	-1.42029	-0.41682
